                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 3 7 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa_me/chukwa-0._RELAX_java_2017-03-07_17_53_45_298/chukwa-0.4.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
     100      15 |      17        0 |       6       9      34 |      49       68 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/ChukwaRecord.java
      33       7 |      17        0 |       3       2       1 |       6        9 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/DataSource.java
      90      11 |      17        0 |      10       9      28 |      47       62 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/DsDirectory.java
     491      60 |      48        5 |      24      38     200 |     262      383 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/ChukwaRecordDataSource.java
     135      22 |      23        1 |      15      13      41 |      69       90 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/RecordDS.java
     145      22 |      38        2 |       9       9      45 |      63       85 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/ChukwaFileParser.java
     145      23 |      20        1 |      12       7      51 |      70      102 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/ChukwaSequenceFileParser.java
      37       5 |      17        0 |       4       7       3 |      14       15 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/ChukwaDSInternalResult.java
      47      10 |      20        0 |       2       1       9 |      12       17 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/record/MalformedFileFormat.java
     150      15 |      23        1 |      17      13      56 |      86      112 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/database/DatabaseDS.java
      62       9 |      20        0 |       4       3      17 |      24       33 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/DataSourceFactory.java
      44       9 |      20        0 |       1       1       8 |      10       15 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/datasource/DataSourceException.java
     239      40 |      26        3 |      16      16     104 |     136      173 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/DumpChunks.java
      33       4 |      17        0 |       3       0       7 |      10       12 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/ExceptionUtil.java
     155      24 |      30        3 |       9      16      56 |      81      101 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/ConstRateAdaptor.java
      91      17 |      17        1 |       6       7      28 |      41       57 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/MaxRateSender.java
      78      10 |      25        1 |       3       9      20 |      32       43 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/ClusterConfig.java
     128      21 |      18        1 |      11       5      55 |      71       89 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/util/TempFileUtil.java
